	lSF	lFP	lRMF	lCMF	lPOB	lLOF	lPT	lPOP	lMOF	lRAC	lCAC	lINS	lPRC	lPOC	lSUPRA	lSP	lIP	lPARA	lPCG	rIST	lPREC	lCUN	lPERI	lLIN	lLO	lTRANS	lBKS	lST	lMT	lIT	lTP	lENT	lPHIP	lFUS	rSF	rFP	rCAC	rCMF	rPOB	rLOF	rPT	rPOP	rMOF	rRMF	rRAC	rINS	rPRC	rPOC	rSUPRA	rSP	rIP	rPARAC	rPCG	lIST	rPREC	rCUN	rPERI	rLIN	rLO	rTRANS	rBKS	rST	rMT	rIT	rTP	rENT	rPHIP	rFUS
'sub_31'	0.003215	0.055621	-0.042720	0.010686	-0.001546	0.004210	-0.024751	-0.021444	0.001711	0.008967	0.005792	0.000499	-0.000459	-0.007464	-0.004084	0.001964	0.049934	0.002811	0.008378	0.007583	-0.002995	0.011215	-0.022073	0.015907	-0.143115	0.007403	-1.084034	-0.057086	0.032477	-0.009039	-0.018245	-0.000148	-0.023848	-0.017971	0.051674	-0.003258	0.005254	0.024670	0.003729	-0.007120	-0.029024	0.011891	-0.001758	-0.009615	0.010300	0.006051	-0.006153	-0.024843	-0.003377	0.007415	0.100062	0.007181	0.016716	0.018723	0.006814	0.004227	0.021472	0.255710	-0.045946	-0.027563	-0.089851	-0.034848	0.159853	0.002359	-0.004747	0.044715	0.010758	0.001869
'sub_32'	-0.006193	0.062836	0.025449	0.005491	0.008607	0.014859	0.020035	-0.017018	-0.003535	0.009169	0.006096	0.010809	0.007830	0.012405	0.012504	0.005425	0.027526	0.002679	0.005660	0.016418	0.006621	0.012487	-0.008502	0.002778	0.135845	0.010040	0.296150	0.011664	0.006607	-0.014066	0.032684	0.006960	0.060450	0.007056	-0.006246	0.002686	-0.004784	0.032001	0.008329	0.034943	0.016494	0.020349	0.012002	0.023874	0.011574	0.000607	0.014566	0.023149	0.020749	0.008856	-0.119823	0.003607	0.018104	0.018410	0.003882	0.030154	0.008881	0.000961	0.034515	0.012801	0.003620	0.048604	-0.101423	0.004818	0.009670	0.020991	0.029171	0.016211
'sub_33'	-0.005626	-0.071390	-0.052163	-0.000853	0.001719	0.010707	0.022579	0.000404	0.017009	0.012651	0.004763	-0.009028	0.003745	0.018509	0.010129	0.005000	-0.034771	0.019679	-0.001987	-0.000199	-0.003352	0.012750	0.011414	-0.026685	0.110151	0.008502	0.831092	0.007698	-0.006234	0.054961	-0.010254	0.000003	0.043541	0.004373	0.015319	0.003878	0.005268	0.010285	0.012745	0.017440	-0.008595	0.002499	-0.000141	-0.011615	0.002587	0.000814	-0.005318	0.016408	-0.007870	-0.006097	-0.075062	-0.000701	0.020711	-0.014381	0.002346	-0.001950	0.018004	0.355488	0.043970	0.015109	-0.032752	-0.023700	0.128339	-0.001398	0.007607	0.040849	-0.067584	0.008045
'sub_34'	-0.037477	-0.065009	0.027856	-0.007572	-0.002952	-0.005079	0.011765	0.012124	0.011296	0.006313	-0.006201	-0.002602	-0.000628	-0.007564	0.005618	0.000584	0.004653	0.003180	0.003387	0.007423	0.002264	-0.000644	-0.031148	-0.007763	0.038261	-0.005477	-0.521944	-0.006445	-0.034723	0.001469	0.019469	0.000911	0.040731	0.000175	-0.007442	-0.000093	-0.018355	0.016927	0.003333	0.018250	0.006343	0.014022	-0.004923	-0.015713	0.009168	0.004783	0.004250	0.006260	-0.005538	0.003752	0.195009	-0.001199	-0.005196	-0.013929	-0.006628	-0.046525	-0.027302	-0.356683	0.031064	-0.023564	0.001972	0.055097	0.053155	0.013483	0.002627	-0.002889	0.001400	-0.005654
'sub_35'	0.037475	-0.067702	-0.023986	-0.008923	0.001973	-0.013567	-0.000591	0.006883	0.001630	-0.015918	-0.009249	-0.014923	0.001664	-0.001444	-0.000704	-0.004562	-0.024102	-0.023053	0.000960	0.008046	0.002217	-0.011846	0.030216	0.006145	-0.008497	0.010282	0.299451	-0.023003	-0.051796	0.027256	-0.010145	0.002313	-0.010813	0.014033	0.011848	-0.003309	0.003304	0.072141	0.010354	-0.000248	0.028000	0.010942	0.017197	0.008218	0.001770	0.004338	-0.004820	-0.004526	0.026252	0.006264	0.350997	0.003470	-0.027062	-0.008662	-0.008839	-0.055365	-0.038939	-0.257134	0.020550	-0.022409	0.067343	-0.201717	0.003938	-0.008997	0.001520	-0.031248	0.036023	0.011226
'sub_36'	0.023927	0.013700	-0.002073	-0.006788	0.005962	-0.013545	0.006364	-0.021096	-0.006153	0.001701	-0.020078	-0.008180	-0.006883	0.006129	-0.011005	-0.008404	0.011352	-0.001700	0.000141	-0.020653	-0.001932	0.000290	-0.008487	-0.009496	0.334929	0.003623	-0.173517	-0.023984	-0.017335	-0.025259	0.002754	0.003386	-0.022239	-0.029468	0.007498	-0.000878	0.008946	0.016324	-0.005400	-0.003774	-0.028288	-0.007107	-0.002806	0.000036	-0.008623	0.003686	-0.006495	0.045270	0.009832	-0.002743	0.323868	-0.000869	-0.001859	0.001904	0.000030	-0.016214	-0.004872	-0.019177	-0.062276	-0.017874	-0.077836	0.061380	-0.221393	-0.002367	-0.003762	-0.067581	-0.005121	-0.009218
'sub_37'	-0.021184	-0.096395	0.032308	0.017113	0.008549	-0.028400	0.025836	-0.006226	0.010755	0.005424	0.009203	0.006631	-0.000798	0.007550	0.006294	-0.000607	-0.037159	0.016442	0.000698	-0.009857	-0.003887	0.004336	-0.059075	0.013984	-0.051078	0.000217	0.144694	0.020190	0.062470	-0.015904	0.000527	0.006239	-0.029110	0.009489	0.009130	0.001400	-0.002067	0.072386	0.005065	-0.002307	-0.001654	0.008041	0.004126	0.013413	-0.002306	-0.003377	-0.003239	-0.008086	0.002214	-0.003982	0.046709	0.006844	-0.022140	-0.006787	0.008108	-0.031828	0.022558	0.075321	0.012594	0.040110	-0.018685	0.161756	0.062271	-0.012401	0.002389	-0.018552	0.012898	-0.003281
'sub_38'	0.030686	0.026125	0.075462	0.003665	0.003845	0.012944	-0.000250	0.014792	0.006451	0.017903	0.003166	0.018131	0.010213	0.005374	0.023999	0.003923	0.021554	0.011621	0.003680	0.006291	0.006093	0.007987	0.062109	0.016630	0.086786	0.002869	0.605389	0.031640	0.003723	0.027854	0.012147	0.012021	0.024714	0.017388	0.009013	0.002675	0.019349	-0.018787	0.004620	0.013571	0.017020	-0.001000	0.003358	0.030476	0.004576	0.001121	0.002955	0.011030	-0.000842	0.006575	-0.120894	0.005263	0.022260	0.006901	0.012816	-0.021600	0.024741	0.361821	0.041957	0.028066	0.051343	0.125601	0.030501	-0.006535	0.008397	0.016195	0.011411	0.008841
'sub_39'	-0.008280	0.018002	0.045162	-0.001112	0.004482	0.027273	0.036665	0.001934	-0.002767	0.010288	0.009043	0.012038	0.002893	0.021318	0.009319	-0.002380	0.036853	0.022564	0.003495	-0.001894	0.000955	0.014343	-0.016933	-0.009582	0.012015	0.015307	0.616291	-0.017990	-0.003104	0.011385	-0.021081	0.004674	0.015625	0.018477	0.021405	0.011603	-0.010072	-0.057531	-0.007151	0.006583	0.028407	-0.005802	0.013961	0.002340	0.001304	0.007582	0.005681	0.010199	0.011752	-0.006163	0.414025	-0.004128	0.002739	0.002616	0.001586	0.021705	-0.013623	-0.295158	-0.049461	-0.008674	0.114080	0.185713	0.049886	0.022072	-0.000066	-0.011865	-0.008076	0.011262
'sub_40'	0.029053	0.025139	-0.004059	0.000944	0.009536	-0.007409	-0.007314	0.004171	0.013956	0.006229	0.012079	0.002811	0.007223	0.004759	-0.003836	-0.000769	0.007593	0.025490	0.001478	0.001992	0.001135	0.008572	0.015747	0.007719	-0.030401	0.005391	-0.378111	0.010932	-0.013197	0.007809	-0.027118	0.007330	0.006474	0.021452	-0.075851	-0.000295	0.021490	-0.063545	0.007797	0.005903	0.043896	-0.012747	-0.001142	0.005086	-0.008955	0.002655	-0.004038	-0.001746	0.002974	0.014410	-0.179704	0.004150	0.022639	0.004795	0.000225	-0.023597	0.004556	0.085666	-0.064752	0.009334	0.088179	0.020774	-0.241815	-0.001640	0.004617	-0.013549	0.086281	-0.008881
'sub_41'	0.010157	0.105196	0.071195	-0.010586	-0.006310	-0.004861	-0.009099	0.014979	-0.005237	-0.000993	-0.004954	0.020682	0.007520	0.000745	0.006697	-0.003076	-0.028777	-0.000396	-0.000396	-0.000912	0.001175	-0.001327	0.022365	-0.011758	-0.003273	0.003329	1.000000	-0.000890	-0.037275	-0.010225	-0.007579	0.005518	0.022727	-0.009209	0.079582	-0.000308	0.002381	0.072726	-0.002049	0.015351	-0.025259	0.022415	0.004591	0.031325	-0.000234	0.001560	-0.006045	0.009897	-0.003366	-0.011774	-0.143788	-0.004384	0.006218	0.015272	-0.000693	0.006790	-0.025019	-0.231258	0.005740	0.021273	-0.047481	0.182213	0.406696	0.001246	0.001679	0.012332	-0.041517	0.019748
'sub_42'	-0.040806	0.043619	-0.050316	0.014824	0.015111	0.004954	-0.004669	0.003331	0.019884	0.003656	0.010938	-0.007182	0.008339	0.002342	0.006146	0.001721	0.056658	-0.002302	0.003439	0.001491	0.004665	0.015827	-0.047770	0.020211	-0.061105	0.004653	0.745470	-0.026902	0.034617	0.033721	0.005498	0.014526	-0.014456	0.006828	0.050206	0.003980	-0.004592	0.035785	-0.004449	-0.003718	0.001953	0.016820	0.001047	-0.028894	0.008682	-0.000550	0.013848	0.000927	0.008086	0.017493	0.296876	0.009571	0.028954	0.011729	0.009819	0.007400	-0.002540	-0.225596	0.038878	-0.007608	0.019006	0.039974	0.197873	-0.003253	0.005297	0.041237	0.040304	0.011043
'sub_43'	0.019674	-0.154681	0.024856	-0.007547	-0.001905	-0.019159	0.021845	-0.011465	-0.003615	-0.001767	-0.003676	-0.000368	-0.016008	0.002715	0.004881	-0.000719	0.000687	-0.004719	-0.000332	0.003643	-0.000534	-0.011020	-0.021944	-0.001317	-0.304659	0.002526	0.381232	-0.046526	-0.057085	0.019029	-0.002600	0.007138	-0.010800	-0.023448	-0.062952	-0.000056	-0.004677	0.001245	-0.010758	-0.002478	-0.035879	0.005385	0.010490	-0.001873	-0.002524	-0.004048	0.001621	-0.044980	0.015503	-0.014308	0.249531	-0.000023	-0.038933	-0.027851	-0.007208	0.033881	-0.017591	-0.000792	-0.052110	-0.033954	-0.099679	0.007214	-0.271615	-0.005513	-0.007375	0.011121	-0.025715	0.006204
'sub_44'	0.003185	0.038116	0.034720	-0.001433	-0.004082	0.011989	-0.036641	-0.038194	-0.017819	0.007965	0.001903	-0.001458	-0.002604	-0.001593	-0.013768	-0.011229	0.017648	0.013276	-0.003549	-0.016973	-0.005155	-0.010599	0.016839	0.007296	-0.072492	-0.007176	0.391180	-0.078731	-0.008995	-0.054740	0.000266	-0.007326	0.023037	-0.003626	-0.012847	-0.007034	0.008030	-0.003557	0.002376	0.013663	-0.000805	-0.013048	-0.003510	0.029326	-0.000547	-0.008359	-0.002317	-0.012603	-0.002138	-0.013555	-0.291990	-0.004278	-0.002988	0.005795	-0.001944	-0.027277	-0.006284	-0.086467	0.031900	0.010032	0.011464	-0.042390	0.070498	-0.005578	-0.003282	0.014360	-0.013889	-0.022030
'sub_45'	-0.015549	0.046849	-0.039142	-0.006808	-0.007036	0.020683	-0.014218	-0.018313	0.012230	-0.010323	-0.004757	-0.027687	0.009232	-0.015284	-0.000771	-0.013374	0.006427	-0.006076	-0.005286	-0.008907	-0.003101	-0.002018	-0.005281	-0.009996	-0.127823	-0.003418	-0.103103	0.013910	-0.037890	-0.001477	-0.007220	-0.005959	-0.005869	-0.018285	0.007619	-0.002159	-0.002019	0.067202	-0.004667	-0.006440	-0.015982	0.004907	-0.012486	-0.006132	-0.013615	0.002308	0.009591	-0.026740	-0.019055	0.000760	0.233387	-0.006452	0.026982	-0.000427	-0.004660	-0.055828	-0.039760	-0.428162	0.036513	0.007617	-0.032779	0.101953	0.136713	-0.012285	-0.009067	0.013654	0.023397	-0.010376
'sub_46'	-0.009351	0.023713	0.051899	-0.000262	-0.008927	-0.012053	-0.021175	-0.008968	0.001944	0.007792	0.007521	0.020799	-0.004417	-0.001840	0.021266	0.004170	0.029435	-0.002836	0.002965	0.007084	0.007856	-0.000876	-0.031086	-0.006782	0.015385	-0.006569	0.109354	0.005595	0.040167	0.032449	-0.008157	-0.001438	-0.002816	0.009527	-0.057984	0.001085	-0.014107	0.098741	0.001557	-0.003092	0.006695	0.019800	-0.002206	0.029559	0.012767	-0.001676	-0.014154	-0.002603	-0.001333	0.008085	-0.153551	-0.002900	-0.008826	0.006211	0.003518	0.017155	0.019197	0.080474	-0.081441	0.029497	0.022364	0.042622	-0.283374	0.011540	-0.005195	0.020039	0.012416	0.000741
'sub_47'	-0.009018	0.075232	0.045792	0.004844	0.000406	-0.034989	-0.015830	0.002332	0.015381	-0.008574	-0.000150	0.002641	-0.002397	-0.002418	0.000258	-0.003568	0.011937	0.002479	-0.002238	-0.010258	0.001764	-0.010077	-0.014521	0.009576	-0.124715	-0.005033	0.332256	-0.026852	0.007921	-0.006043	-0.002336	-0.003280	-0.009985	-0.008518	0.093833	-0.001037	0.005661	0.030716	0.006656	-0.001218	-0.023754	0.000106	0.000020	-0.020310	-0.007114	-0.005143	-0.004794	-0.018242	0.000636	0.001949	-0.301792	0.000302	-0.013951	0.011430	0.001261	-0.068708	-0.006056	-0.192734	-0.049536	-0.023145	-0.077940	0.081888	0.387620	-0.013364	0.000878	-0.023224	-0.002162	-0.010605
'sub_48'	0.008524	0.133717	-0.029893	-0.001953	-0.003387	0.058941	-0.001811	-0.022161	-0.004907	0.010707	0.000269	-0.002975	-0.012066	0.000736	0.006595	0.000992	-0.034200	0.013487	-0.004192	0.001460	-0.000321	-0.015108	0.012180	0.026675	0.091537	0.005293	0.336562	-0.050408	-0.051750	0.011668	-0.019699	0.004063	0.009523	0.003051	-0.171819	0.000596	0.012587	-0.073165	0.003603	-0.002170	-0.004213	-0.011391	-0.002781	-0.011039	-0.002172	-0.007134	-0.017124	0.009808	-0.030697	-0.007184	-0.558657	0.005497	-0.007438	0.016050	-0.008599	0.048005	-0.003499	0.168001	-0.011541	-0.019361	-0.016393	0.039286	-0.210004	0.013089	-0.000476	0.030131	-0.023038	-0.008085
'sub_49'	-0.008827	0.016649	-0.006221	0.002151	0.002916	-0.018510	0.016722	0.021639	0.000404	0.001855	0.017183	0.007111	-0.005655	0.003934	-0.000587	0.007483	-0.003225	0.006412	0.004688	-0.007741	0.005447	-0.000056	-0.024996	0.003741	-0.003302	0.002676	-0.056985	-0.010957	0.009762	0.017174	0.022534	0.000161	-0.012436	-0.006590	-0.037968	0.004371	0.001626	-0.073013	-0.000420	-0.009079	-0.000531	-0.019468	0.002811	-0.005546	0.000973	0.001288	0.003188	0.013016	0.016527	0.003835	0.493257	0.001963	0.003297	0.001294	-0.000323	0.043982	0.000317	-0.041803	0.029448	0.006517	-0.018589	-0.151492	-0.323534	0.001760	-0.001315	-0.012165	0.024063	-0.008665
'sub_50'	-0.013292	-0.056119	-0.004139	0.005278	0.003878	-0.030945	-0.012789	0.007094	0.005749	0.014806	-0.007470	0.001724	0.009658	0.009788	0.007982	0.004209	0.052666	0.017903	0.006775	0.008600	0.002939	-0.000147	0.006248	0.015619	0.024479	0.002590	0.137142	0.042501	0.036562	0.010076	-0.001991	0.004943	0.032580	0.017440	0.048714	-0.003669	0.008820	0.003308	0.004553	0.015534	0.013174	0.002881	-0.005949	0.017829	0.002008	0.005679	-0.001420	0.002651	-0.011772	0.010296	0.361223	0.005800	0.006105	0.000375	0.007124	-0.011008	0.012942	0.066223	-0.047447	0.019047	0.029578	0.077354	0.158509	0.011274	0.011316	-0.042523	0.015124	0.011485
