	lSF	lFP	lRMF	lCMF	lPOB	lLOF	lPT	lPOP	lMOF	lRAC	lCAC	lINS	lPRC	lPOC	lSUPRA	lSP	lIP	lPARA	lPCG	rIST	lPREC	lCUN	lPERI	lLIN	lLO	lTRANS	lBKS	lST	lMT	lIT	lTP	lENT	lPHIP	lFUS	rSF	rFP	rCAC	rCMF	rPOB	rLOF	rPT	rPOP	rMOF	rRMF	rRAC	rINS	rPRC	rPOC	rSUPRA	rSP	rIP	rPARAC	rPCG	lIST	rPREC	rCUN	rPERI	rLIN	rLO	rTRANS	rBKS	rST	rMT	rIT	rTP	rENT	rPHIP	rFUS
'sub_11'	-0.026266	0.011095	-0.049414	-0.003042	0.000137	-0.014916	-0.006746	0.006672	-0.007215	-0.014246	0.006491	-0.014015	0.003788	-0.007900	0.003291	0.002709	-0.031494	-0.017466	-0.003563	-0.011704	-0.000372	0.000985	-0.046138	-0.015776	-0.246134	0.000685	0.087576	0.011692	0.000459	0.008760	-0.004551	0.005416	0.010960	0.014128	0.081357	0.000200	-0.021369	-0.032404	-0.001646	-0.000259	0.018983	-0.014401	-0.002987	0.001381	-0.008043	0.005758	-0.004727	-0.036783	0.000814	-0.002828	0.038892	-0.002886	-0.001072	-0.003352	0.009765	-0.013558	0.021828	0.321716	-0.013896	0.020047	0.069578	0.115421	0.157436	-0.002730	-0.004840	0.036911	-0.020218	-0.007361
'sub_12'	-0.005920	0.085025	-0.036945	0.009028	0.003452	0.008623	0.020879	-0.007535	0.003827	-0.016942	-0.009425	-0.020999	0.001591	0.012484	-0.011849	-0.008059	0.004178	-0.004998	0.002238	-0.011364	-0.000180	0.004638	0.032882	0.006038	-0.061727	-0.001099	0.640278	-0.004267	0.033977	0.013960	0.021965	-0.005543	0.007202	-0.003215	0.055616	-0.002868	0.010183	-0.042511	0.005275	0.000078	-0.006217	-0.019912	-0.004598	-0.023327	-0.009797	0.010880	0.000324	-0.013598	-0.006186	0.002142	0.791975	0.001915	0.006798	0.014679	-0.002931	0.003263	-0.011120	-0.246614	-0.043175	-0.034629	-0.015697	-0.237150	0.102769	0.004081	0.005974	-0.036987	-0.004316	-0.008924
'sub_13'	0.028174	0.038201	0.001398	0.000050	0.002326	0.010889	0.019151	0.006164	0.002519	0.006146	-0.005147	0.011197	-0.002991	0.000015	-0.012020	-0.000845	-0.033679	0.010089	0.001313	0.000807	-0.001909	-0.005090	0.018418	-0.014296	0.166796	0.001483	-0.516439	-0.003964	0.028185	-0.021406	-0.002116	0.001166	-0.020097	-0.016933	-0.041513	0.002611	0.016429	0.027043	-0.007025	-0.006119	-0.021681	0.006316	0.001899	0.012964	0.003047	-0.004728	-0.002886	0.030338	-0.006665	-0.000987	0.114223	-0.001720	-0.012956	0.008983	0.001118	0.048462	-0.006846	-0.281839	0.007154	0.001776	-0.054951	-0.073905	-0.062971	-0.005565	-0.003657	-0.009234	-0.000655	-0.005695
'sub_14'	0.027329	-0.064804	0.000426	-0.002453	0.005401	-0.005765	0.019786	0.026584	-0.003073	0.045105	0.019906	0.012700	0.008271	0.009254	0.009165	0.012958	0.022829	0.029165	0.003152	0.024339	0.010631	0.015776	0.003975	-0.003488	-0.003558	0.010598	0.226212	0.080595	-0.000165	-0.010798	0.004097	0.007247	0.004184	-0.006983	0.109443	0.006506	-0.013043	-0.018973	0.010065	0.003783	0.007928	0.000001	0.003865	0.006057	0.013939	0.007687	0.003091	0.006533	0.010115	0.006437	0.305804	0.003191	0.021482	-0.009884	0.006983	0.040380	-0.004774	-0.129020	0.057564	0.032600	-0.023814	-0.019752	0.350246	-0.003808	0.002394	0.037197	0.049109	0.004296
'sub_15'	-0.028434	0.047560	0.069132	-0.009739	-0.005433	0.010045	0.024990	-0.019392	-0.005044	0.004134	0.002874	0.020119	-0.003238	0.007391	-0.010373	-0.002737	-0.031571	0.006857	0.000004	-0.003764	-0.000633	0.000023	-0.040224	-0.012263	-0.026493	0.001840	0.147640	-0.000704	-0.059505	-0.001039	0.008477	0.004294	0.012359	0.000417	-0.039954	-0.001993	-0.023123	-0.001733	0.012495	0.000130	-0.018047	-0.003948	-0.000073	0.008143	0.003222	-0.002235	-0.002848	-0.003130	-0.004552	-0.023426	0.327157	-0.002933	0.006500	0.006908	-0.013169	0.026374	-0.010160	0.090545	0.070098	0.010283	-0.028344	-0.230691	-0.106980	0.001483	0.002327	0.000332	-0.058388	-0.004846
'sub_16'	-0.021869	-0.114356	-0.023316	-0.000141	-0.004650	0.014191	-0.013735	0.010338	-0.010214	-0.007372	0.012588	-0.013643	-0.000689	0.003057	-0.014386	0.004647	-0.037262	-0.003143	-0.001707	-0.012038	-0.004766	-0.003740	-0.039997	0.011509	0.288226	-0.001220	-0.168083	-0.001778	-0.009224	0.001948	-0.001170	-0.009559	0.024202	-0.000029	-0.011478	-0.002762	-0.014056	-0.084919	0.000381	0.009593	-0.011819	-0.018022	-0.001580	-0.004919	0.002843	0.005951	-0.008641	0.039307	-0.010803	-0.014835	-0.464467	0.002181	0.001026	-0.019952	-0.009190	0.010101	0.001745	0.082208	-0.012371	-0.009213	-0.017808	-0.180641	-0.044869	0.012800	-0.001205	0.021547	-0.084316	-0.001161
'sub_17'	0.006272	0.023344	-0.036038	0.003049	0.007651	-0.006445	-0.005811	0.003281	0.007567	0.002534	0.000577	-0.021068	0.004677	-0.007665	0.022686	0.005354	0.023850	-0.007159	0.000119	0.006011	0.004073	0.006973	-0.038480	-0.002851	0.337554	0.004648	-0.672034	-0.042842	0.023286	0.038116	-0.013966	0.000570	0.007819	0.015734	-0.013442	0.004346	-0.005840	-0.015663	-0.000618	0.007574	0.035770	-0.006593	0.001708	0.021030	-0.004767	0.003325	-0.000459	0.042792	0.002304	0.010898	-0.381390	-0.001938	0.008485	0.002920	0.009251	-0.076328	0.007189	0.076022	-0.064593	0.013475	0.094870	0.216682	-0.025447	0.018062	-0.001951	0.011765	0.026428	-0.012191
'sub_18'	-0.029838	0.059961	-0.015709	0.001313	0.000687	0.008827	-0.000883	-0.001126	-0.000696	0.001690	0.009428	-0.003033	0.010156	0.006725	0.003600	-0.005610	0.021518	0.012038	-0.000256	-0.000548	-0.001571	0.011101	-0.028210	0.001520	0.126643	0.004165	0.388100	-0.012442	-0.009932	0.005854	0.005477	0.008543	0.036361	0.003831	-0.042902	0.004454	-0.017809	0.013611	0.003546	0.011075	0.006743	0.010318	0.001195	0.029987	-0.002627	-0.002055	0.013775	0.019898	-0.005443	0.004223	-0.150499	-0.000602	0.026745	0.006498	-0.000256	-0.014266	-0.013699	-0.190509	0.044179	0.021604	0.012434	0.064450	-0.176986	-0.004478	0.001744	0.005658	-0.008889	0.003347
'sub_19'	0.012556	-0.009149	-0.020707	-0.004683	0.000874	-0.026521	-0.007611	-0.002188	0.006895	-0.011203	-0.012812	-0.012465	-0.000806	0.005263	-0.008307	-0.009058	0.038103	-0.007302	-0.002632	-0.005148	0.001190	0.004908	0.004145	-0.003000	0.039122	-0.007758	-0.100667	-0.075396	-0.002907	-0.024505	-0.011805	-0.003804	-0.034255	-0.014315	0.045768	-0.002513	0.014588	-0.009445	-0.000635	-0.017071	-0.010716	-0.001515	-0.004753	-0.004149	-0.004578	0.005939	0.005632	0.003061	0.014978	0.014143	0.060371	0.000261	0.007350	-0.004826	0.000475	-0.040023	-0.027063	-0.377735	0.106173	-0.026442	-0.045485	0.064841	0.079979	0.011565	-0.004942	-0.029436	0.051090	-0.009479
'sub_20'	0.023448	-0.096422	-0.058144	-0.002040	-0.001266	-0.005568	0.014822	-0.015649	-0.002993	-0.000291	0.000253	-0.011230	-0.001621	-0.007187	0.014056	0.005407	0.016935	-0.021614	0.002489	0.008342	0.005313	0.005969	-0.015651	-0.012270	-0.167862	-0.003357	-0.092321	-0.006803	-0.011286	-0.010690	0.013970	0.000995	-0.042815	-0.015953	-0.065431	-0.001601	-0.007153	0.009748	-0.008055	-0.021398	-0.005815	0.011333	0.010667	0.018968	0.019685	-0.006314	0.000342	-0.024498	0.011180	0.007505	0.436847	-0.002460	0.009841	-0.021740	0.003767	-0.005210	-0.007658	-0.084744	-0.072971	0.019404	-0.035009	0.196801	-0.098106	0.011813	-0.004351	0.022579	0.075170	-0.002312
