	lSF	lFP	lRMF	lCMF	lPOB	lLOF	lPT	lPOP	lMOF	lRAC	lCAC	lINS	lPRC	lPOC	lSUPRA	lSP	lIP	lPARA	lPCG	rIST	lPREC	lCUN	lPERI	lLIN	lLO	lTRANS	lBKS	lST	lMT	lIT	lTP	lENT	lPHIP	lFUS	rSF	rFP	rCAC	rCMF	rPOB	rLOF	rPT	rPOP	rMOF	rRMF	rRAC	rINS	rPRC	rPOC	rSUPRA	rSP	rIP	rPARAC	rPCG	lIST	rPREC	rCUN	rPERI	rLIN	rLO	rTRANS	rBKS	rST	rMT	rIT	rTP	rENT	rPHIP	rFUS
'fs_1'	0.000653	0.003644	0.001642	0.002583	-0.000983	0.009571	0.002152	-0.004989	-0.003318	-0.000110	0.002262	-0.000187	-0.006650	0.000605	-0.000939	-0.000431	0.001890	-0.006831	-0.002065	0.000682	-0.029859	0.034381	0.000151	-0.000376	0.010900	0.000711	0.000447	-0.001363	0.001081	-0.002038	0.000627	0.000601	0.009013	0.001066	0.058664	0.000024	-0.001249	0.003451	0.004752	0.006465	0.003697	-0.001119	0.009019	-0.001586	-0.000786	0.001178	0.002218	-0.012570	-0.011426	-0.008387	0.011106	0.017286	0.006945	-0.000102	-0.001961	0.020123	-0.002823	0.001137	0.002056	0.001956	0.000452	-0.007681	0.000301	0.001862	0.001619	0.002365	-0.003177	-0.001184
'fs_2'	0.001953	0.002336	0.001144	-0.009643	0.002389	0.000963	-0.000632	0.000419	0.004844	0.012141	0.001849	0.003279	0.008751	0.004805	-0.000611	0.000816	0.001872	0.010250	0.004229	0.002517	0.020446	-0.009146	0.002045	0.002101	0.015869	0.001935	-0.000095	0.002211	0.000230	0.000052	-0.000159	0.004087	-0.017996	-0.000933	0.205455	0.001484	0.001494	0.027722	0.015429	0.004276	-0.012553	0.002048	0.001182	0.002279	0.003620	0.002348	0.003121	0.006066	0.002413	-0.004106	-0.001233	0.034779	0.002511	0.005380	0.003122	0.005707	0.002740	-0.002444	0.001732	0.003920	-0.002766	0.007675	0.002095	0.003144	0.002246	0.002267	0.009493	0.004231
'fs_3'	0.004729	-0.003758	0.001984	0.004970	0.002328	0.006840	0.002670	0.003808	0.003352	0.008294	0.000845	0.001640	0.006126	0.000052	0.000972	0.002749	-0.000153	-0.000501	0.003696	0.002459	-0.002016	0.023887	0.002445	0.002895	0.023374	0.001798	0.003055	0.002006	0.001480	0.001741	0.002512	0.003080	-0.008301	0.000965	0.091813	0.001012	0.000887	-0.055295	0.003910	-0.000361	0.007677	0.001713	0.006932	0.001129	0.001218	0.002753	0.001224	0.015498	0.009480	-0.004739	0.007039	-0.004560	0.001820	0.006371	0.003019	-0.019766	0.006947	0.003292	0.002349	0.004143	0.002046	0.005112	0.002255	0.001397	0.003902	-0.000608	0.007136	0.004971
'fs_4'	0.002783	-0.002080	0.000771	0.008984	0.001570	-0.008199	0.000428	-0.001653	0.000871	0.004272	0.001163	-0.000301	0.003600	-0.000072	-0.001686	-0.000773	0.000517	0.001902	0.001179	0.000796	-0.012624	-0.024416	0.000706	0.000111	0.000372	-0.000382	-0.000477	-0.000786	0.000108	0.007377	0.001582	-0.002168	-0.013463	0.000433	0.226109	0.000240	-0.002686	0.055012	0.002323	-0.001142	-0.002870	-0.000747	0.000806	-0.000096	-0.000843	-0.000308	0.000598	-0.000236	-0.002594	-0.007579	-0.011782	-0.003110	0.005820	-0.000776	-0.000475	-0.000090	-0.000521	0.004405	0.001481	0.001722	0.001030	-0.002868	-0.000046	0.000418	0.000586	-0.002133	0.007764	0.003947
'fs_5'	-0.000029	-0.004345	-0.000946	0.003032	0.000708	0.000352	-0.000294	0.006655	-0.003861	-0.003425	-0.000599	-0.001804	-0.000494	-0.001841	0.001386	-0.000039	-0.001647	-0.016977	-0.001879	-0.001315	0.040293	-0.007460	0.000247	-0.002046	-0.011500	-0.000525	-0.003209	0.000973	-0.001623	-0.002996	-0.000403	-0.001625	-0.000975	0.000473	0.222964	-0.001870	-0.001207	-0.008503	-0.003161	0.001900	0.000355	-0.001345	0.000104	0.000850	-0.000424	-0.000824	0.001858	0.007075	-0.003385	0.012463	-0.014384	-0.008086	-0.003629	-0.004367	0.000388	-0.003020	0.003571	0.000417	-0.000840	-0.004236	-0.001169	-0.003422	0.000302	-0.001531	-0.001898	-0.000007	-0.005432	-0.002688
'fs_6'	0.000046	0.007038	0.001833	0.013875	0.001705	0.010931	0.001153	0.001197	0.001791	-0.001379	-0.000449	-0.001672	-0.002471	0.001605	-0.000188	0.001390	0.000636	-0.003423	-0.000340	0.000967	0.010047	0.030425	0.002520	-0.000113	-0.005602	0.001155	0.001037	0.000887	0.000071	0.001060	0.001614	0.001417	-0.003709	0.002796	-0.255982	0.001778	0.001184	0.016922	0.002827	-0.003893	0.006927	0.001182	0.005634	0.000717	0.001773	0.001295	-0.001799	0.005728	0.008245	0.007507	0.007757	0.007655	0.000976	-0.000928	0.001216	-0.003008	0.001055	0.004798	0.003263	-0.001283	0.006243	0.000360	0.002970	0.000111	0.000503	0.001471	0.005624	0.000639
'fs_7'	-0.001906	0.000131	-0.001464	-0.009183	0.001399	0.005935	-0.000281	-0.002329	0.003655	-0.005601	-0.001975	-0.003716	-0.007411	-0.002473	0.000085	-0.000766	0.001430	-0.008472	-0.002796	-0.001638	-0.016720	0.025953	0.001775	0.001193	-0.004458	0.000001	0.001299	-0.001083	-0.000627	-0.003637	-0.000154	-0.005330	0.006557	0.001139	0.164095	-0.000776	0.000870	-0.005926	-0.006638	-0.000811	-0.002128	0.000012	-0.003300	-0.001719	-0.000377	0.001375	0.001162	0.003234	-0.003500	-0.018633	0.019053	-0.030291	0.002843	-0.003159	-0.000295	0.002733	0.000744	-0.005174	-0.000173	0.002723	-0.003564	0.002046	-0.000620	-0.000181	0.000141	-0.001440	-0.010436	-0.006435
'fs_8'	-0.001896	-0.001688	0.002120	0.005806	0.002663	-0.011187	0.003689	-0.000881	-0.000926	0.003384	0.002766	0.002414	0.000386	0.002258	0.003523	0.003477	0.002140	-0.000700	0.001918	0.001948	0.012087	-0.033220	0.001530	0.003712	-0.003863	0.000982	0.001746	0.001273	0.001441	-0.001967	0.000516	0.006251	0.004568	0.001376	0.095708	0.002157	0.002757	-0.051414	0.007438	0.001158	0.004435	0.001059	0.012372	-0.000033	0.002427	0.000833	0.001514	0.001598	0.001300	0.008241	0.003189	0.004608	0.009054	0.001638	0.001703	0.019625	0.000878	0.003084	0.007363	0.002558	-0.002980	-0.000826	0.001783	0.000976	0.002939	0.002870	0.005007	0.000272
'fs_9'	0.002657	-0.002885	0.000763	0.005481	0.000974	0.006577	-0.003971	-0.000296	0.003783	-0.004387	0.000986	0.000717	0.003340	-0.001575	-0.001764	0.001031	0.001816	0.002775	-0.001854	0.000555	0.031941	0.023945	0.001304	-0.000833	0.023311	0.000919	-0.000990	0.001681	0.000349	0.001675	0.001528	-0.003462	0.014555	0.001350	0.292903	0.001242	0.002875	-0.013275	-0.006913	0.001526	-0.002038	0.000638	-0.002196	0.001138	-0.001753	0.002602	0.002954	0.009438	0.007617	-0.009946	-0.024527	-0.021400	-0.000010	-0.000100	0.003608	0.004488	0.005689	0.001200	-0.001246	0.001119	0.003180	0.010585	0.002752	0.002245	0.001040	-0.000632	-0.010246	-0.001421
'fs_10'	0.004386	-0.001460	0.001420	0.000054	0.003278	0.001987	-0.000747	0.005160	0.003416	-0.000438	0.001579	0.002485	-0.000577	0.001210	0.000405	-0.000469	0.001980	0.009061	0.000384	0.001170	-0.044097	0.005649	0.001609	-0.001120	0.015189	0.000304	0.002071	-0.000793	0.001330	0.006756	0.001229	0.006135	0.000463	0.004708	1.000000	-0.001255	0.000131	-0.046243	0.006868	0.004036	-0.003269	0.000195	0.007868	0.001577	0.000335	0.002248	0.006103	-0.002015	-0.001231	0.004876	-0.007822	0.005020	-0.004902	0.000044	0.000614	-0.004834	-0.000314	0.000763	0.004284	0.001856	0.000777	0.001463	-0.000605	0.000343	0.004985	0.002104	0.000402	0.004042
